#COUNT	ENDPOINT
0	put /thirdparties/{id}/accounts/{site}
1	get /thirdparties/{id}/bankaccounts
0	post /thirdparties/{id}/bankaccounts
0	delete /thirdparties/{id}/bankaccounts/{bankaccount_id}
0	put /thirdparties/{id}/bankaccounts/{bankaccount_id}
1	get /thirdparties/{id}/categories
0	delete /thirdparties/{id}/categories/{category_id}
0	put /thirdparties/{id}/categories/{category_id}
1	get /thirdparties/{id}/fixedamountdiscounts
1	get /thirdparties/{id}/generateBankAccountDocument/{companybankid}/{model}
1	get /thirdparties/{id}/getinvoicesqualifiedforcreditnote
1	get /thirdparties/{id}/getinvoicesqualifiedforreplacement
0	put /thirdparties/{id}/merge/{idtodelete}
1	get /thirdparties/{id}/notifications
0	post /thirdparties/{id}/notifications
0	delete /thirdparties/{id}/notifications/{notification_id}
0	put /thirdparties/{id}/notifications/{notification_id}
1	get /thirdparties/{id}/outstandinginvoices
1	get /thirdparties/{id}/outstandingorders
1	get /thirdparties/{id}/outstandingproposals
0	delete /thirdparties/{id}/representative/{representative_id}
0	post /thirdparties/{id}/representative/{representative_id}
1	get /thirdparties/{id}/representatives
0	put /thirdparties/{id}/setpricelevel/{priceLevel}
1	get /thirdparties/{id}/supplier_categories
0	delete /thirdparties/{id}/supplier_categories/{category_id}
0	put /thirdparties/{id}/supplier_categories/{category_id}
1	get /thirdparties/barcode/{barcode}
1	get /thirdparties/email/{email}
1	get /tickets
0	post /tickets
0	delete /tickets/{id}
1	get /tickets/{id}
0	put /tickets/{id}
0	post /tickets/newmessage
1	get /tickets/ref/{ref}
1	get /tickets/track_id/{track_id}
1	get /users
0	post /users
0	delete /users/{id}
1	get /users/{id}
0	put /users/{id}
1	get /users/{id}/groups
1	get /users/{id}/setGroup/{group}
1	get /users/email/{email}
0	get /users/groups
0	get /users/groups/{group}
0	get /users/info
0	get /users/login/{login}
0	get /warehouses
0	post /warehouses
0	delete /warehouses/{id}
0	get /warehouses/{id}
0	put /warehouses/{id}
